Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,"R Han, L Bai, Y Wen, J Liu, J Choi, ...","UAV-aided backscatter communications: Performance analysis and trajectory optimization",2021,"IEEE Journal on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9453805/","https://scholar.google.com/scholar?cites=14676585598434569926&as_sdt=2005&sciodt=2007&hl=en",29,"2025-09-15 17:37:58","","","","",,,,,42,10.50,7,6,4,"… In this section, we assume that there are K UAVs in the backscatter communication system and each UAV is to help I parasite devices during the flight time. The background noise is …","https://scholar.google.com/scholar?output=instlink&q=info:xm5Ohte0rcsJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=9252303428631202654&oi=lle","https://scholar.google.com/scholar?q=related:xm5Ohte0rcsJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
153,"M Atif, R Ahmad, W Ahmad, L Zhao, ...","UAV-assisted wireless localization for search and rescue",2021,"IEEE Systems …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9345802/","https://scholar.google.com/scholar?cites=9182602120584967009&as_sdt=2005&sciodt=2007&hl=en",45,"2025-09-15 17:37:58","","","","",,,,,153,38.25,31,5,4,"… This article presents a novel localization and path planning … energy of the UAV and the number of unlocalized nodes. The … the neighboring nodes and their signal strength. It is assumed …","","https://scholar.google.com/scholar?q=related:YTM3J_onb38J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
11,"C Luo, SI McClean, G Parr, Q Wang, ...","A communication model to decouple the path planning and connectivity optimization and support cooperative sensing",2014,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6736065/","https://scholar.google.com/scholar?cites=6686674533177009508&as_sdt=2005&sciodt=2007&hl=en",5,"2025-09-15 17:37:58","","","","",,,,,11,1.00,2,5,11,"… model, the path planning algorithm and network connectivity … the optimizations of UAV path-planning and relay deployment… and conference papers and filed 5 patents. He is actively …","https://core.ac.uk/download/pdf/43097929.pdf","https://scholar.google.com/scholar?q=related:ZKWqdg_Xy1wJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
66,"OS Oubbati, M Atiquzzaman, P Lorenz, ...","SEARCH: An SDN-enabled approach for vehicle path-planning",2020,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9286572/","https://scholar.google.com/scholar?cites=2951444579081489985&as_sdt=2005&sciodt=2007&hl=en",24,"2025-09-15 17:37:58","","","","",,,,,66,13.20,17,4,5,"… In V2V communication, vehicles can communicate with each … interfaces for each vehicle and UAV using the framework Veins [42… He is the author/co-author of 3 books, 3 patents and 200 …","https://hal.science/hal-03110411/file/Article%201.pdf","https://scholar.google.com/scholar?q=related:QY5nDjWj9SgJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
0,"Y Chen, Q Zhu, J Wang, Z Jia, X Wang, ...","UAV-Aided Efficient Informative Path Planning for Autonomous 3D Spectrum Mapping",2025,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11143588/","",26,"2025-09-15 17:37:58","","","","",,,,,0,0.00,0,6,1,"… PhD in communication and … patents. His current research interests include channel sounding, modeling, and emulation for the 5G/6G mobile communication and UAV communication …","https://scholar.google.com/scholar?output=instlink&q=info:rLwOpCcFcGsJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=5872513820789930533&oi=lle","https://scholar.google.com/scholar?q=related:rLwOpCcFcGsJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
210,"S Javaid, N Saeed, Z Qadir, H Fahim, ...","Communication and control in collaborative UAVs: Recent advances and future trends",2023,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10077453/","https://scholar.google.com/scholar?cites=9204267516604860767&as_sdt=2005&sciodt=2007&hl=en",54,"2025-09-15 17:37:58","","","","",,,,,210,105.00,42,5,2,"… for UAV path planning. The grey wolf optimizer algorithms mimic the social hunting behavior of the grey wolf and perform exploration, exploitation, geometric adjustment, and optimal …","https://arxiv.org/pdf/2302.12175","https://scholar.google.com/scholar?q=related:X0nmQIogvH8J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
71,"T Wu, J Liu, J Liu, Z Huang, H Wu, ...","A novel AI-based framework for AoI-optimal trajectory planning in UAV-assisted wireless sensor networks",2021,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9543607/","https://scholar.google.com/scholar?cites=15051603224145498996&as_sdt=2005&sciodt=2007&hl=en",79,"2025-09-15 17:37:58","","","","",,,,,71,17.75,12,6,4,"… Two types of communication links are considered here. One is … Li, “Travelling salesman problem for UAV path planning with … -time UAV path planning,” IEEE Trans. Industr. Inform., vol. …","https://scholar.google.com/scholar?output=instlink&q=info:dBNRs2IJ4tAJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=11472902104988103023&oi=lle","https://scholar.google.com/scholar?q=related:dBNRs2IJ4tAJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
81,"S Hu, X Yuan, W Ni, X Wang","Trajectory planning of cellular-connected UAV for communication-assisted radar sensing",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9847217/","https://scholar.google.com/scholar?cites=5915405737427350488&as_sdt=2005&sciodt=2007&hl=en",3,"2025-09-15 17:37:58","","","","",,,,,81,27.00,20,4,3,"… System model of joint communication and radar sensing by a BS-UAV bistatic SAR, where the UAV receives the downlink cellular signals from the BS and the reflections of the signals …","https://arxiv.org/pdf/2207.13238","https://scholar.google.com/scholar?q=related:2DOqUS2-F1IJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
195,"B Zhu, E Bedeer, HH Nguyen, ...","UAV trajectory planning in wireless sensor networks for energy consumption minimization by deep reinforcement learning",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9507262/","https://scholar.google.com/scholar?cites=7998791335944896643&as_sdt=2005&sciodt=2007&hl=en",27,"2025-09-15 17:37:58","","","","",,,,,195,48.75,49,4,4,"… in [19] formulate the UAV’s path planning problem as a dynamic … to the UAV, and Pcom is the communication power of the UAV. In … Rob also holds many patents in the areas of wireless …","https://arxiv.org/pdf/2108.00354","https://scholar.google.com/scholar?q=related:g8B3M1dqAW8J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
58,"M Eskandari, H Huang, AV Savkin, ...","Model predictive control-based 3D navigation of a RIS-equipped UAV for LoS wireless communication with a ground intelligent vehicle",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10002850/","https://scholar.google.com/scholar?cites=4199270398823813052&as_sdt=2005&sciodt=2007&hl=en",32,"2025-09-15 17:37:58","","","","",,,,,58,19.33,15,4,3,"… planning by considering the UAV motion constraints while following the MT. However, in most UAVassisted communications, 2D unobstructed path planning has been considered for …","https://ira.lib.polyu.edu.hk/bitstream/10397/98857/1/Huang_Model_Predictive_Navigation.pdf","https://scholar.google.com/scholar?q=related:vM-01S3ORjoJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
23,"Y Xu, Y Han, Z Sun, W Gu, Y Jin, ...","Path planning optimization with multiple pesticide and power loading bases using several unmanned aerial systems on segmented agricultural fields",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9904967/","https://scholar.google.com/scholar?cites=16618460818170832726&as_sdt=2005&sciodt=2007&hl=en",33,"2025-09-15 17:37:58","","","","",,,,,23,7.67,4,6,3,"… Bettstetter, “Multi-objective UAV path planning for search and … application in unmanned combat aerial vehicle path planning… academic papers and obtained 32 patents; drafted the first …","https://scholar.google.com/scholar?output=instlink&q=info:VufR1BCioOYJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=10084490876493760174&oi=lle","https://scholar.google.com/scholar?q=related:VufR1BCioOYJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
271,"Z Yang, W Xu, M Shikh-Bahaei","Energy efficient UAV communication with energy harvesting",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8941314/","https://scholar.google.com/scholar?cites=2340078044288392601&as_sdt=2005&sciodt=2007&hl=en",39,"2025-09-15 17:37:58","","","","",,,,,271,45.17,90,3,6,"… subproblem and energy minimization subproblem with fixed path planning. For path planning … For energy minimization subproblem with fixed path planning, we firstly obtain the optimal …","https://arxiv.org/pdf/1911.00351","https://scholar.google.com/scholar?q=related:mR2AQJWgeSAJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
73,"W Hu, Y Yu, S Liu, C She, L Guo, ...","Multi-UAV coverage path planning: A distributed online cooperation method",2023,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10102336/","https://scholar.google.com/scholar?cites=5359381030961338149&as_sdt=2005&sciodt=2007&hl=en",48,"2025-09-15 17:37:58","","","","",,,,,73,36.50,12,6,2,"… Here we first assume that a UAV can always maintain communication with any other … He holds a number of patents granted and pending in these fields. He is also the Editor of IEEE …","https://scholar.google.com/scholar?output=instlink&q=info:JddqBqdYYEoJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=5760821791798904089&oi=lle","https://scholar.google.com/scholar?q=related:JddqBqdYYEoJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
85,"MMU Chowdhury, SJ Maeng, E Bulut, ...","3-D trajectory optimization in UAV-assisted cellular networks considering antenna radiation pattern and backhaul constraint",2020,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9037325/","https://scholar.google.com/scholar?cites=101968588350509447&as_sdt=2005&sciodt=2007&hl=en",70,"2025-09-15 17:37:58","","","","",,,,,85,17.00,21,4,5,"… 3-D path planning problem of an unmanned aerial vehicle (UAV), in interference prevalent downlink cellular networks. We consider a cellular-connected UAV … the cellular connectivity of …","https://ieeexplore.ieee.org/ielaam/7/9219049/9037325-aam.pdf","https://scholar.google.com/scholar?q=related:h1HhDuRDagEJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
2,"B Duo, A Kong, Q Wu, X Yuan, ...","Joint path and pick-up design for connectivity-aware UAV-enabled multi-package delivery",2024,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10706999/","https://scholar.google.com/scholar?cites=5073930030972592772&as_sdt=2005&sciodt=2007&hl=en",71,"2025-09-15 17:37:58","","","","",,,,,2,2.00,0,5,1,"… In this section, we introduce a connectivity-aware solution for the UAV path planning based on … He holds a number of patents granted and pending in these fields. He was a recipient of …","https://scholar.google.com/scholar?output=instlink&q=info:hOJO93o4akYJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=4815405652242929754&oi=lle","https://scholar.google.com/scholar?q=related:hOJO93o4akYJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
0,"Y Yoo, J Suh, D Choi, J Paek, ...","ASCEND: Altitude Selection for High-quality Cellular Connectivity on Drones",2025,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11115971/","",82,"2025-09-15 17:37:58","","","","",,,,,0,0.00,0,5,1,"… of UAV cellular connectivity in real-world environments. Some studies focus on drone path planning but fail to take into account connectivity … and holds more than 100 patents. He is a …","https://scholar.google.com/scholar?output=instlink&q=info:y9yxG84SpxUJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=12601835640488517092&oi=lle","https://scholar.google.com/scholar?q=related:y9yxG84SpxUJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
173,"Y Wan, Y Zhong, A Ma, L Zhang","An accurate UAV 3-D path planning method for disaster emergency response based on an improved multiobjective swarm intelligence algorithm",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9780258/","https://scholar.google.com/scholar?cites=18162936254129955047&as_sdt=2005&sciodt=2007&hl=en",85,"2025-09-15 17:37:58","","","","",,,,,173,57.67,43,4,3,"… UAV 3-D path planning approach in accordance with an enhanced multiobjective swarm intelligence algorithm is proposed (APPMS). In the APPMS method, the path planning … UAV 3-D …","https://www.researchgate.net/profile/Yuting-Wan/publication/360803059_An_Accurate_UAV_3-D_Path_Planning_Method_for_Disaster_Emergency_Response_Based_on_an_Improved_Multiobjective_Swarm_Intelligence_Algorithm/links/628cd3c06773462154d4f3f9/An-Accurate-UAV-3-D-Path-Planning-Method-for-Disaster-Emergency-Response-Based-on-an-Improved-Multiobjective-Swarm-Intelligence-Algorithm.pdf","https://scholar.google.com/scholar?q=related:5-B6sUq2D_wJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
12,"Z Sun, J Wu, GG Yen, Z Lu, ...","Performance analysis and system implementation for energy-efficient passive UAV radar imaging system",2023,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10079148/","https://scholar.google.com/scholar?cites=12912776980314751843&as_sdt=2005&sciodt=2007&hl=en",98,"2025-09-15 17:37:58","","","","",,,,,12,6.00,2,5,2,"… UAV navigation, passive SAR imaging and communication. An energy-efficient path planning method is then presented to generate a UAV … evaluators and path planning method. Finally…","https://scholar.google.com/scholar?output=instlink&q=info:Y4OArz9mM7MJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=9026151075927346423&oi=lle","https://scholar.google.com/scholar?q=related:Y4OArz9mM7MJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
0,"J Xiong, J Wu, Y Zhou, S Xu","On Energy Replenishment Station Site Selection and Path Planning for Drone Video Streaming",2025,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11000306/","",99,"2025-09-15 17:37:58","","","","",,,,,0,0.00,0,4,1,"… to the nearby energy resupply station via wireless communication network. 2) The energy … papers and holds more than 40 patents, including 39 awarded patents. His current research …","https://scholar.google.com/scholar?output=instlink&q=info:FR9fLONxSjUJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=3429403081360317689&oi=lle","https://scholar.google.com/scholar?q=related:FR9fLONxSjUJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
295,"CH Liu, X Ma, X Gao, J Tang","Distributed energy-efficient multi-UAV navigation for long-term communication coverage by deep reinforcement learning",2019,"IEEE Transactions on Mobile …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8676325/","https://scholar.google.com/scholar?cites=16115017559697450058&as_sdt=2005&sciodt=2007&hl=en",65,"2025-09-15 17:37:58","","","","",,,,,295,49.17,74,4,6,"… UAV network and multi-layer UAV ad-hoc network. Our work is related to the UAV deployment and path planning, and UAV … more than 14 EU/US/UK/China patents, with Google Scholar …","https://scholar.google.com/scholar?output=instlink&q=info:SuTy6hYLpN8J:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=6410370113822227355&oi=lle","https://scholar.google.com/scholar?q=related:SuTy6hYLpN8J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
0,"C Luo, SI McClean, G Parr","A communication model to decouple the path planning and connectivity optimization and support",,"IEEE Transactions on Vehicular Technology","academia.edu","https://www.academia.edu/download/96835228/A_communication_model_to_decouple_pp_network.pdf","",14,"2025-09-15 17:37:58","PDF","","","",,,,,0,0.00,0,3,,"… model, the path planning algorithm and network connectivity … the optimizations of UAV path-planning and relay deployment… and conference papers and filed 5 patents. He is actively …","https://www.academia.edu/download/96835228/A_communication_model_to_decouple_pp_network.pdf","https://scholar.google.com/scholar?q=related:lVV20NKL1fMJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
102,"Y Li, AH Aghvami, D Dong","Path planning for cellular-connected UAV: A DRL solution with quantum-inspired experience replay",2022,"IEEE Transactions on Wireless …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9748970/","https://scholar.google.com/scholar?cites=12037727671228374949&as_sdt=2005&sciodt=2007&hl=en",17,"2025-09-15 17:37:58","","","","",,,,,102,34.00,34,3,3,"… the aerial coverage issue, compared to terrestrial communication scenario where non line-of-… of UAV makes it possible to tackle the aforementioned aerial coverage obstacles via UAV …","https://arxiv.org/pdf/2108.13184","https://scholar.google.com/scholar?q=related:pR910omZDqcJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
18,"D Gesbert, O Esrafilian, J Chen, ...","UAV-aided RF mapping for sensing and connectivity in wireless networks",2022,"IEEE Wireless …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9771333/","https://scholar.google.com/scholar?cites=4198371468287095073&as_sdt=2005&sciodt=2007&hl=en",25,"2025-09-15 17:37:58","","","","",,,,,18,6.00,5,4,3,"… Specifically, UAV path planning problems that constitute a … to predict a UAV trajectory allowing us to collect maximally … He published about 350 articles and 25 patents, seven of them …","https://arxiv.org/pdf/2205.03335","https://scholar.google.com/scholar?q=related:ITFjQpucQzoJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
54,"H Oh, S Kim, A Tsourdos, BA White","Coordinated road-network search route planning by a team of UAVs",2014,"International Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00207721.2012.737116","https://scholar.google.com/scholar?cites=15085575056741794042&as_sdt=2005&sciodt=2007&hl=en",52,"2025-09-15 17:37:58","","10.1080/00207721.2012.737116","","",,,,,54,4.91,14,4,11,"… , an efficient UAV team size and path planning method is … vehicle such as fuel, communication resources or surrounding … -inventor of two Korean domestic patents. He was also awarded …","https://repository.lboro.ac.uk/articles/journal_contribution/Coordinated_road-network_search_route_planning_by_a_team_of_UAVs/9226430/1/files/16805978.pdf","https://scholar.google.com/scholar?q=related:-oCWWZa6WtEJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
217,"F Yan, YS Liu, JZ Xiao","Path planning in complex 3D environments using a probabilistic roadmap method",2013,"International Journal of Automation and computing","Springer","https://link.springer.com/article/10.1007/s11633-013-0750-9","https://scholar.google.com/scholar?cites=3485061583305520909&as_sdt=2005&sciodt=2007&hl=en",51,"2025-09-15 17:37:58","HTML","10.1007/s11633-013-0750-9","","",,,,,217,18.08,72,3,12,"… evaluate the free voxel connectivity. The probabilistic roadmap … For UAV path planning, the free space of the environment is … used for UAV path planning (the size of our UAV is about 0.4 …","https://link.springer.com/article/10.1007/s11633-013-0750-9","https://scholar.google.com/scholar?q=related:DTdJnQttXTAJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
32,"…, R Kunst, W Hardjawana, EP de Freitas","A systematic literature review of flying ad hoc networks: State‐of‐the‐art, challenges, and perspectives",2023,"Journal of Field …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.22157","https://scholar.google.com/scholar?cites=16472914684095073148&as_sdt=2005&sciodt=2007&hl=en",77,"2025-09-15 17:37:58","","10.1002/rob.22157","","",,,,,32,16.00,8,4,2,"… To have an overall perspective about published patents in the area of UAV-based networks… path planning: One of the essential factors to optimize the UAV network's performance is UAV …","https://www.researchgate.net/profile/Faezeh-Pasandideh-2/publication/367397743_A_systematic_literature_review_of_flying_ad_hoc_networks_State-of-the-art_challenges_and_perspectives/links/6513df58f91aee386e6e8d5e/A-systematic-literature-review-of-flying-ad-hoc-networks-State-of-the-art-challenges-and-perspectives.pdf","https://scholar.google.com/scholar?q=related:fIvNwKCMm-QJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
